start_date,end_date,company,platform,campaign,amount
2022-03-01,2022-03-31,Evian,Google Ads,Google Ads | Retargeting | Statewide,1389
2022-03-01,2022-03-31,Evian,Google Ads,Google Ads | Retargeting | Local,509
2022-03-01,2022-03-31,Evian,Facebook Ads,Facebook Ads | Traffic | Statewide,1385
2022-03-01,2022-03-31,Evian,Facebook Ads,Facebook Ads | Traffic | National,532
2022-03-01,2022-03-31,Evian,Facebook Ads,Facebook Ads | Retargeting | Local,847
2022-03-01,2022-03-31,Evian,Facebook Ads,Facebook Ads | Retargeting | Statewide,768
2022-03-01,2022-03-31,Dasani,Google Ads,Google Ads | Search | Local,421
2022-03-01,2022-03-31,Dasani,Google Ads,Google Ads | Search | Statewide,1414
2022-03-01,2022-03-31,Dasani,Facebook Ads,Facebook Ads | Traffic | Local,1435
2022-03-01,2022-03-31,Dasani,Facebook Ads,Facebook Ads | Traffic | Statewide,143
2022-03-01,2022-03-31,Heineken,Facebook Ads,Facebook Ads | Traffic | Statewide,7
2022-03-01,2022-03-31,Heineken,Facebook Ads,Facebook Ads | Traffic | National,6
2022-03-01,2022-03-31,Gatorade,Facebook Ads,Facebook Ads | Traffic | Local,285
2022-03-01,2022-03-31,Gatorade,Facebook Ads,Facebook Ads | Traffic | National,404
2022-03-01,2022-03-31,Gatorade,Google Ads,Google Ads | Search | Statewide,1247
2022-03-01,2022-03-31,Gatorade,Google Ads,Google Ads | Search | National,482
2022-03-01,2022-03-31,Gatorade,Facebook Ads,Facebook Ads | Retargeting | Statewide,278
2022-03-01,2022-03-31,Gatorade,Facebook Ads,Facebook Ads | Retargeting | Local,205
2022-03-01,2022-03-31,Gatorade,Google Ads,Google Ads | Retargeting | Statewide,34
2022-03-01,2022-03-31,Gatorade,Google Ads,Google Ads | Retargeting | National,1651
2022-03-01,2022-03-31,Tetley's Brewery,Google Ads,Google Ads | Search | Local,40
2022-03-01,2022-03-31,Tetley's Brewery,Google Ads,Google Ads | Search | National,148
2022-03-01,2022-03-31,Jones Soda,Facebook Ads,Facebook Ads | Traffic | National,251
2022-03-01,2022-03-31,Jones Soda,Facebook Ads,Facebook Ads | Traffic | Statewide,860
2022-03-01,2022-03-31,Grapette,Google Ads,Google Ads | Search | Statewide,446
2022-03-01,2022-03-31,Grapette,Google Ads,Google Ads | Search | National,53
2022-03-01,2022-03-31,Grapette,Google Ads,Google Ads | Retargeting | Local,314
2022-03-01,2022-03-31,Grapette,Google Ads,Google Ads | Retargeting | Statewide,659
2022-03-01,2022-03-31,Grapette,Facebook Ads,Facebook Ads | Retargeting | National,0
2022-03-01,2022-03-31,Grapette,Facebook Ads,Facebook Ads | Retargeting | Local,18
2022-03-01,2022-03-31,Grapette,Facebook Ads,Facebook Ads | Traffic | National,179
2022-03-01,2022-03-31,Grapette,Facebook Ads,Facebook Ads | Traffic | Local,22
2022-03-01,2022-03-31,Jif (lemon juice),Google Ads,Google Ads | Search | Local,495
2022-03-01,2022-03-31,Jif (lemon juice),Google Ads,Google Ads | Search | Statewide,741
2022-03-01,2022-03-31,Jif (lemon juice),Facebook Ads,Facebook Ads | Retargeting | National,594
2022-03-01,2022-03-31,Jif (lemon juice),Facebook Ads,Facebook Ads | Retargeting | Statewide,128
2022-03-01,2022-03-31,Jif (lemon juice),Facebook Ads,Facebook Ads | Traffic | National,28
2022-03-01,2022-03-31,Jif (lemon juice),Facebook Ads,Facebook Ads | Traffic | Statewide,176
2022-03-01,2022-03-31,Jif (lemon juice),Google Ads,Google Ads | Retargeting | Local,142
2022-03-01,2022-03-31,Jif (lemon juice),Google Ads,Google Ads | Retargeting | National,172
2022-03-01,2022-03-31,Royal Tru,Google Ads,Google Ads | Retargeting | National,54
2022-03-01,2022-03-31,Royal Tru,Google Ads,Google Ads | Retargeting | Local,11
2022-03-01,2022-03-31,Royal Tru,Facebook Ads,Facebook Ads | Traffic | National,943
2022-03-01,2022-03-31,Royal Tru,Facebook Ads,Facebook Ads | Traffic | Local,374
2022-03-01,2022-03-31,Oronamin,Facebook Ads,Facebook Ads | Retargeting | National,252
2022-03-01,2022-03-31,Oronamin,Facebook Ads,Facebook Ads | Retargeting | Local,1138
2022-03-01,2022-03-31,Oronamin,Google Ads,Google Ads | Retargeting | Statewide,385
2022-03-01,2022-03-31,Oronamin,Google Ads,Google Ads | Retargeting | Local,305
2022-03-01,2022-03-31,Oronamin,Google Ads,Google Ads | Search | Local,318
2022-03-01,2022-03-31,Oronamin,Google Ads,Google Ads | Search | Statewide,231
2022-03-01,2022-03-31,Oronamin,Facebook Ads,Facebook Ads | Traffic | Statewide,439
2022-03-01,2022-03-31,Oronamin,Facebook Ads,Facebook Ads | Traffic | Local,249
2022-03-01,2022-03-31,Culligan,Facebook Ads,Facebook Ads | Traffic | National,1256
2022-03-01,2022-03-31,Culligan,Facebook Ads,Facebook Ads | Traffic | Local,152
2022-03-01,2022-03-31,Culligan,Facebook Ads,Facebook Ads | Retargeting | Local,1189
2022-03-01,2022-03-31,Culligan,Facebook Ads,Facebook Ads | Retargeting | Statewide,778
2022-03-01,2022-03-31,Culligan,Google Ads,Google Ads | Retargeting | Statewide,1239
2022-03-01,2022-03-31,Culligan,Google Ads,Google Ads | Retargeting | National,601
2022-03-01,2022-03-31,Culligan,Google Ads,Google Ads | Search | Statewide,173
2022-03-01,2022-03-31,Culligan,Google Ads,Google Ads | Search | Local,218
2022-03-01,2022-03-31,Fanta,Facebook Ads,Facebook Ads | Traffic | National,311
2022-03-01,2022-03-31,Fanta,Facebook Ads,Facebook Ads | Traffic | Local,311
2022-03-01,2022-03-31,Fanta,Facebook Ads,Facebook Ads | Retargeting | National,854
2022-03-01,2022-03-31,Fanta,Facebook Ads,Facebook Ads | Retargeting | Local,69
2022-03-01,2022-03-31,Fanta,Google Ads,Google Ads | Retargeting | Local,183
2022-03-01,2022-03-31,Fanta,Google Ads,Google Ads | Retargeting | Statewide,159
2022-03-01,2022-03-31,Fanta,Google Ads,Google Ads | Search | Statewide,125
2022-03-01,2022-03-31,Fanta,Google Ads,Google Ads | Search | Local,28
2022-03-01,2022-03-31,Pizza Hut,Google Ads,Google Ads | Search | National,3
2022-03-01,2022-03-31,Pizza Hut,Google Ads,Google Ads | Search | Statewide,270
